"","Name","Address","lon","lat"
"131","Centennial Bank","1000 South Rodgers, Clarksville, Arkansas 72830",-93.4596565,35.4610934
"132","Bank of America, National Association","15811 Metcalf Ave, Overland Park, Kansas 66223",-94.6672503,38.8436852
"133","Landmark National Bank","6640 W 143rd St, Overland Park, Kansas 66223",-94.6648063,38.8697291
"134","Country Club Bank","13451 Briar Dr, Leawood, Kansas 66209",-94.6440729,38.8846458
"135","Central National Bank","1555 E Santa Fe St, Gardner, Kansas 66030",-94.893932,38.810484
"136","CoreFirst Bank & Trust","16201 W 95th St, Lenexa, Kansas 66219",-94.7761974,38.9551194
"137","Central National Bank","205 N Moonlight Rd, Gardner, Kansas 66030",-94.9078758,38.8138637
"138","UMB Bank, National Association","6900 Mission Rd, Prairie Village, Kansas 66208",-94.6301446,39.0038169
"139","BMO Harris Bank National Association","7101 College Blvd, Overland Park, Kansas 66210",-94.6688116,38.9262122
"140","Community National Bank","11120 W 135th St, Overland Park, Kansas 66221",-94.7169688,38.8843007
"141","UMB Bank, National Association","4200 W 115th St, Leawood, Kansas 66211",-94.6339778,38.9206372
"142","Midwest Heritage Bank, FSB","8900 W 135th St, Overland Park, Kansas 66221",-94.6884785,38.8854852
"143","Outdoor Bank","7835 W 151st St, Overland Park, Kansas 66223",-94.6784531,38.8536709
"144","Capitol Federal Savings Bank","660 E Main St, Gardner, Kansas 66030",-94.913348,38.812594
"145","U.S. Bank National Association","15970 S Mur Len Rd, Olathe, Kansas 66062",-94.7817542,38.8395056
"146","JPMorgan Chase Bank, National Association","14802 W 117th St, Olathe, Kansas 66062",-94.7578693,38.913265
"147","HTLF Bank","11935 Riley St, Overland Park, Kansas 66213",-94.6717498,38.9116179
"148","U.S. Bank National Association","5249 Turner Drive, Kansas City, Kansas 66106",-94.7043959,39.0899095
"149","Bank OZK","1144 S Rogers St, Clarksville, Arkansas 72830",-93.4615501,35.4589017
"150","Capitol Federal Savings Bank","9500 Nall Ave, Overland Park, Kansas 66207",-94.6494618,38.9563315
"151","Southern Bank","4701 College Blvd, Leawood, Kansas 66211",-94.6404343,38.9268938
"152","Commerce Bank","12280 W 135th St, Overland Park, Kansas 66221",-94.7277124,38.8842728
"153","Mutual Savings Association","229 Oak St, Bonner Springs, Kansas 66012",-94.883793,39.0569586
"154","First National Bank of Omaha","9700 Metcalf Ave, Overland Park, Kansas 66212",-94.6682148,38.9524854
"155","The Central Trust Bank","900 E Main St, Gardner, Kansas 66030",-94.9083624,38.8122127
"156","The Central Trust Bank","13446 S Blackbob Rd, Olathe, Kansas 66062",-94.7615185,38.8850208
"157","Wells Fargo Bank, National Association","5301 W 95th St, Overland Park, Kansas 66207",-94.6469319,38.9563008
"158","U.S. Bank National Association","700 Central Ave, Kansas City, Kansas 66101",-94.6266748,39.1029102
"159","NBH Bank","7579 W 151st St, Overland Park, Kansas 66223",-94.6736033,38.8542674
"160","Commerce Bank","11405 Nall Ave, Leawood, Kansas 66211",-94.6484656,38.9208357
"161","Security Bank of Kansas City","701 Minnesota Ave, Kansas City, Kansas 66101",-94.627522,39.1148498
"162","The State Bank of Spring Hill","201 S Webster St, Spring Hill, Kansas 66083",-94.8259399,38.7424664
"163","Bank of Labor","756 Minnesota Ave, Kansas City, Kansas 66101",-94.6291119,39.1157987
"164","NBKC Bank","3510 W 95th St, Leawood, Kansas 66206",-94.6266724,38.9577562
"165","Community First Bank","650 Kansas Ave, Kansas City, Kansas 66105",-94.6254241,39.0878175
